2.8594 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
13.9526 	EXP 	stim: autoDraw = False
13.9526 	EXP 	answerprompt: autoDraw = False
13.9526 	EXP 	stim: pos = array([ 0.25,  0.  ])
13.9526 	EXP 	stim: image = 'TessImages/1.jpg'
13.9526 	EXP 	answerprompt: text = 'Press 0'
13.9526 	EXP 	Fixation: autoDraw = True
13.9526 	EXP 	stim: autoDraw = True
13.9526 	EXP 	answerprompt: autoDraw = True
13.9532 	EXP 	window1: blendMode = 'avg'
13.9536 	EXP 	window1: blendMode = 'avg'
13.9756 	EXP 	window1: blendMode = 'avg'
13.9758 	EXP 	window1: blendMode = 'avg'
13.9925 	EXP 	window1: blendMode = 'avg'
13.9928 	EXP 	window1: blendMode = 'avg'
14.0094 	EXP 	window1: blendMode = 'avg'
14.0097 	EXP 	window1: blendMode = 'avg'
14.0259 	EXP 	window1: blendMode = 'avg'
14.0261 	EXP 	window1: blendMode = 'avg'
14.0429 	EXP 	window1: blendMode = 'avg'
14.0432 	EXP 	window1: blendMode = 'avg'
14.0593 	EXP 	window1: blendMode = 'avg'
14.0596 	EXP 	window1: blendMode = 'avg'
14.0758 	EXP 	window1: blendMode = 'avg'
14.0761 	EXP 	window1: blendMode = 'avg'
14.0923 	EXP 	window1: blendMode = 'avg'
14.0926 	EXP 	window1: blendMode = 'avg'
14.1093 	EXP 	window1: blendMode = 'avg'
14.1095 	EXP 	window1: blendMode = 'avg'
14.1257 	EXP 	window1: blendMode = 'avg'
14.1259 	EXP 	window1: blendMode = 'avg'
14.1424 	EXP 	window1: blendMode = 'avg'
14.1427 	EXP 	window1: blendMode = 'avg'
14.1587 	EXP 	window1: blendMode = 'avg'
14.1589 	EXP 	window1: blendMode = 'avg'
14.1754 	EXP 	window1: blendMode = 'avg'
14.1757 	EXP 	window1: blendMode = 'avg'
14.1921 	EXP 	window1: blendMode = 'avg'
14.1924 	EXP 	window1: blendMode = 'avg'
14.2094 	EXP 	window1: blendMode = 'avg'
14.2097 	EXP 	window1: blendMode = 'avg'
14.2262 	EXP 	window1: blendMode = 'avg'
14.2265 	EXP 	window1: blendMode = 'avg'
14.2435 	EXP 	window1: blendMode = 'avg'
14.2439 	EXP 	window1: blendMode = 'avg'
14.2443 	DATA 	Keypress: 0
14.2606 	EXP 	window1: blendMode = 'avg'
14.2759 	EXP 	Fixation: autoDraw = False
14.2759 	EXP 	stim: autoDraw = False
14.2759 	EXP 	answerprompt: autoDraw = False
14.2759 	EXP 	text: autoDraw = True
14.2765 	EXP 	window1: blendMode = 'avg'
14.2930 	EXP 	window1: blendMode = 'avg'
14.3092 	EXP 	window1: blendMode = 'avg'
14.3257 	EXP 	window1: blendMode = 'avg'
14.3422 	EXP 	window1: blendMode = 'avg'
14.3590 	EXP 	window1: blendMode = 'avg'
14.3757 	EXP 	window1: blendMode = 'avg'
14.3921 	EXP 	window1: blendMode = 'avg'
14.4092 	EXP 	window1: blendMode = 'avg'
14.4257 	EXP 	window1: blendMode = 'avg'
14.4424 	EXP 	window1: blendMode = 'avg'
14.4586 	EXP 	window1: blendMode = 'avg'
14.4756 	EXP 	window1: blendMode = 'avg'
14.4923 	EXP 	window1: blendMode = 'avg'
14.5093 	EXP 	window1: blendMode = 'avg'
14.5258 	EXP 	window1: blendMode = 'avg'
14.5423 	EXP 	window1: blendMode = 'avg'
14.5590 	EXP 	window1: blendMode = 'avg'
14.5756 	EXP 	window1: blendMode = 'avg'
14.5921 	EXP 	window1: blendMode = 'avg'
14.6091 	EXP 	window1: blendMode = 'avg'
14.6256 	EXP 	window1: blendMode = 'avg'
14.6424 	EXP 	window1: blendMode = 'avg'
14.6589 	EXP 	window1: blendMode = 'avg'
14.6755 	EXP 	window1: blendMode = 'avg'
14.6921 	EXP 	window1: blendMode = 'avg'
14.7091 	EXP 	window1: blendMode = 'avg'
14.7273 	EXP 	window1: blendMode = 'avg'
14.7455 	EXP 	window1: blendMode = 'avg'
14.7638 	EXP 	window1: blendMode = 'avg'
14.7815 	EXP 	window1: blendMode = 'avg'
14.7987 	EXP 	window1: blendMode = 'avg'
14.8152 	EXP 	window1: blendMode = 'avg'
14.8383 	EXP 	window1: blendMode = 'avg'
14.8585 	EXP 	window1: blendMode = 'avg'
14.8761 	EXP 	window1: blendMode = 'avg'
14.8773 	DATA 	Keypress: space
14.8935 	EXP 	window1: blendMode = 'avg'
14.9217 	EXP 	text: autoDraw = False
14.9217 	EXP 	text: autoDraw = False
14.9217 	EXP 	Instr3Text: autoDraw = True
